EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on 25-02-2015
THESE DATA CAN BE USED FREELY PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED:

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE IS -9999):

01-06 SOUID: Source identifier
08-15 DATE : Date YYYYMMDD
17-21 RR   : daily Precipitation amount in 0.1 mm
23-27 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station SLOVENIA, MARIBOR-LETALISCE (STAID: 3331).
Blended and updated with sources: 115156 914026 
See file sources.txt and stations.txt for more info.

 SOUID,    DATE,   RR, Q_RR
115156,19771112,    0,    0
115156,19771113,  340,    0
115156,19771114,    0,    0
115156,19771115,   92,    0
115156,19771116,    0,    0
115156,19771117,    0,    0
115156,19771118,    0,    0
115156,19771119,    0,    0
115156,19771120,    0,    0
115156,19771121,   24,    0
115156,19771122,    0,    0
115156,19771123,   11,    0
115156,19771124,    0,    0
115156,19771125,   14,    0
115156,19771126,   60,    0
115156,19771127,    0,    0
115156,19771128,    9,    0
115156,19771129,    0,    0
115156,19771130,   12,    0
115156,19771201,    1,    0
115156,19771202,    0,    0
115156,19771203,    0,    0
115156,19771204,    0,    0
115156,19771205,    0,    0
115156,19771206,  197,    0
115156,19771207,   33,    0
115156,19771208,   10,    0
115156,19771209,   37,    0
115156,19771210,   67,    0
115156,19771211,    2,    0
115156,19771212,    0,    0
115156,19771213,    0,    0
115156,19771214,    0,    0
115156,19771215,   14,    0
115156,19771216,    0,    0
115156,19771217,    0,    0
115156,19771218,    0,    0
115156,19771219,    0,    0
115156,19771220,    0,    0
115156,19771221,    0,    0
115156,19771222,    0,    0
115156,19771223,    0,    0
115156,19771224,    4,    0
115156,19771225,    0,    0
115156,19771226,    0,    0
115156,19771227,    7,    0
115156,19771228,   79,    0
115156,19771229,    0,    0
115156,19771230,    0,    0
115156,19771231,   28,    0
115156,19780101,    0,    0
115156,19780102,    0,    0
115156,19780103,    0,    0
115156,19780104,    0,    0
115156,19780105,    1,    0
115156,19780106,    0,    0
115156,19780107,   16,    0
115156,19780108,    0,    0
115156,19780109,    0,    0
115156,19780110,    0,    0
115156,19780111,    1,    0
115156,19780112,    5,    0
115156,19780113,   19,    0
115156,19780114,    0,    0
115156,19780115,  104,    0
115156,19780116,   37,    0
115156,19780117,  127,    0
115156,19780118,    0,    0
115156,19780119,    6,    0
115156,19780120,   16,    0
115156,19780121,    0,    0
115156,19780122,    0,    0
115156,19780123,    0,    0
115156,19780124,    1,    0
115156,19780125,    0,    0
115156,19780126,    0,    0
115156,19780127,    0,    0
115156,19780128,   11,    0
115156,19780129,   79,    0
115156,19780130,    0,    0
115156,19780131,    0,    0
115156,19780201,    1,    0
115156,19780202,    0,    0
115156,19780203,    0,    0
115156,19780204,    0,    0
115156,19780205,    0,    0
115156,19780206,    0,    0
115156,19780207,    2,    0
115156,19780208,   12,    0
115156,19780209,    0,    0
115156,19780210,   61,    0
115156,19780211,   51,    0
115156,19780212,    3,    0
115156,19780213,    0,    0
115156,19780214,    0,    0
115156,19780215,    0,    0
115156,19780216,    0,    0
115156,19780217,    9,    0
115156,19780218,    0,    0
115156,19780219,   66,    0
115156,19780220,    8,    0
115156,19780221,    0,    0
115156,19780222,    0,    0
115156,19780223,    0,    0
115156,19780224,    0,    0
115156,19780225,    0,    0
115156,19780226,   31,    0
115156,19780227,    3,    0
115156,19780228,   10,    0
115156,19780301,    8,    0
115156,19780302,    0,    0
115156,19780303,    0,    0
115156,19780304,    1,    0
115156,19780305,  272,    0
115156,19780306,   16,    0
115156,19780307,    0,    0
115156,19780308,    0,    0
115156,19780309,    0,    0
115156,19780310,    0,    0
115156,19780311,    0,    0
115156,19780312,    0,    0
115156,19780313,    0,    0
115156,19780314,    0,    0
115156,19780315,   32,    0
115156,19780316,   13,    0
115156,19780317,    6,    0
115156,19780318,   59,    0
115156,19780319,   24,    0
115156,19780320,    0,    0
115156,19780321,    0,    0
115156,19780322,    0,    0
115156,19780323,   69,    0
115156,19780324,   17,    0
115156,19780325,    0,    0
115156,19780326,   13,    0
115156,19780327,    0,    0
115156,19780328,    0,    0
115156,19780329,    0,    0
115156,19780330,    0,    0
115156,19780331,    0,    0
115156,19780401,    0,    0
115156,19780402,    0,    0
115156,19780403,   12,    0
115156,19780404,    0,    0
115156,19780405,    7,    0
115156,19780406,    0,    0
115156,19780407,    0,    0
115156,19780408,    0,    0
115156,19780409,    0,    0
115156,19780410,    0,    0
115156,19780411,   18,    0
115156,19780412,  374,    0
115156,19780413,  179,    0
115156,19780414,   29,    0
115156,19780415,  451,    0
115156,19780416,    6,    0
115156,19780417,    0,    0
115156,19780418,    0,    0
115156,19780419,    0,    0
115156,19780420,    0,    0
115156,19780421,   44,    0
115156,19780422,    0,    0
115156,19780423,    0,    0
115156,19780424,    0,    0
115156,19780425,    0,    0
115156,19780426,   46,    0
115156,19780427,   34,    0
115156,19780428,    0,    0
115156,19780429,    0,    0
115156,19780430,    0,    0
115156,19780501,    0,    0
115156,19780502,    0,    0
115156,19780503,    0,    0
115156,19780504,    0,    0
115156,19780505,   12,    0
115156,19780506,   42,    0
115156,19780507,    0,    0
115156,19780508,    0,    0
115156,19780509,    7,    0
115156,19780510,   20,    0
115156,19780511,   53,    0
115156,19780512,    0,    0
115156,19780513,  100,    0
115156,19780514,    0,    0
115156,19780515,   18,    0
115156,19780516,  121,    0
115156,19780517,    0,    0
115156,19780518,    0,    0
115156,19780519,   32,    0
115156,19780520,    0,    0
115156,19780521,   13,    0
115156,19780522,   69,    0
115156,19780523,    0,    0
115156,19780524,    0,    0
115156,19780525,    0,    0
115156,19780526,    0,    0
115156,19780527,   27,    0
115156,19780528,   38,    0
115156,19780529,  171,    0
115156,19780530,  103,    0
115156,19780531,   28,    0
115156,19780601,    0,    0
115156,19780602,    0,    0
115156,19780603,    0,    0
115156,19780604,    1,    0
115156,19780605,    0,    0
115156,19780606,    0,    0
115156,19780607,    4,    0
115156,19780608,  210,    0
115156,19780609,    0,    0
115156,19780610,  181,    0
115156,19780611,  192,    0
115156,19780612,  250,    0
115156,19780613,   91,    0
115156,19780614,    9,    0
115156,19780615,    0,    0
115156,19780616,    0,    0
115156,19780617,    9,    0
115156,19780618,    1,    0
115156,19780619,    8,    0
115156,19780620,    0,    0
115156,19780621,   70,    0
115156,19780622,    6,    0
115156,19780623,    2,    0
115156,19780624,   73,    0
115156,19780625,   30,    0
115156,19780626,    0,    0
115156,19780627,    0,    0
115156,19780628,    0,    0
115156,19780629,    0,    0
115156,19780630,    0,    0
115156,19780701,    1,    0
115156,19780702,   23,    0
115156,19780703,    0,    0
115156,19780704,    0,    0
115156,19780705,  219,    0
115156,19780706,   24,    0
115156,19780707,    0,    0
115156,19780708,    1,    0
115156,19780709,    7,    0
115156,19780710,   35,    0
115156,19780711,    8,    0
115156,19780712,  209,    0
115156,19780713,   90,    0
115156,19780714,    4,    0
115156,19780715,    0,    0
115156,19780716,    0,    0
115156,19780717,    0,    0
115156,19780718,  158,    0
115156,19780719,  178,    0
115156,19780720,   32,    0
115156,19780721,  216,    0
115156,19780722,    0,    0
115156,19780723,    0,    0
115156,19780724,    0,    0
115156,19780725,    0,    0
115156,19780726,    0,    0
115156,19780727,    0,    0
115156,19780728,    0,    0
115156,19780729,    0,    0
115156,19780730,    0,    0
115156,19780731,    0,    0
115156,19780801,    0,    0
115156,19780802,    0,    0
115156,19780803,  125,    0
115156,19780804,   22,    0
115156,19780805,   66,    0
115156,19780806,    0,    0
115156,19780807,   26,    0
115156,19780808,   16,    0
115156,19780809,   68,    0
115156,19780810,    0,    0
115156,19780811,    4,    0
115156,19780812,   35,    0
115156,19780813,   46,    0
115156,19780814,    0,    0
115156,19780815,    0,    0
115156,19780816,    0,    0
115156,19780817,  228,    0
115156,19780818,    4,    0
115156,19780819,    0,    0
115156,19780820,    0,    0
115156,19780821,    0,    0
115156,19780822,    0,    0
115156,19780823,    0,    0
115156,19780824,   72,    0
115156,19780825,    0,    0
115156,19780826,    0,    0
115156,19780827,    0,    0
115156,19780828,    0,    0
115156,19780829,    0,    0
115156,19780830,   82,    0
115156,19780831,    0,    0
115156,19780901,    0,    0
115156,19780902,   43,    0
115156,19780903,    0,    0
115156,19780904,    0,    0
115156,19780905,    0,    0
115156,19780906,    0,    0
115156,19780907,    0,    0
115156,19780908,   44,    0
115156,19780909,    2,    0
115156,19780910,    0,    0
115156,19780911,   51,    0
115156,19780912,   74,    0
115156,19780913,    0,    0
115156,19780914,    0,    0
115156,19780915,    0,    0
115156,19780916,    0,    0
115156,19780917,    0,    0
115156,19780918,   45,    0
115156,19780919,    0,    0
115156,19780920,    0,    0
115156,19780921,    0,    0
115156,19780922,    3,    0
115156,19780923,    9,    0
115156,19780924,    0,    0
115156,19780925,    0,    0
115156,19780926,    0,    0
115156,19780927,  384,    0
115156,19780928,    8,    0
115156,19780929,    9,    0
115156,19780930,  331,    0
115156,19781001,  103,    0
115156,19781002,   49,    0
115156,19781003,   13,    0
115156,19781004,   51,    0
115156,19781005,    0,    0
115156,19781006,    0,    0
115156,19781007,    0,    0
115156,19781008,    0,    0
115156,19781009,    0,    0
115156,19781010,    0,    0
115156,19781011,    0,    0
115156,19781012,    0,    0
115156,19781013,    0,    0
115156,19781014,    0,    0
115156,19781015,    0,    0
115156,19781016,    0,    0
115156,19781017,    0,    0
115156,19781018,    1,    0
115156,19781019,    2,    0
115156,19781020,    0,    0
115156,19781021,    0,    0
115156,19781022,    0,    0
115156,19781023,    0,    0
115156,19781024,    0,    0
115156,19781025,    5,    0
115156,19781026,   62,    0
115156,19781027,    0,    0
115156,19781028,    0,    0
115156,19781029,    0,    0
115156,19781030,    0,    0
115156,19781031,    0,    0
115156,19781101,    0,    0
115156,19781102,    0,    0
115156,19781103,    0,    0
115156,19781104,    0,    0
115156,19781105,    0,    0
115156,19781106,    0,    0
115156,19781107,    0,    0
115156,19781108,    0,    0
115156,19781109,    0,    0
115156,19781110,    0,    0
115156,19781111,    0,    0
115156,19781112,    0,    0
115156,19781113,    0,    0
115156,19781114,    0,    0
115156,19781115,    0,    0
115156,19781116,    0,    0
115156,19781117,    0,    0
115156,19781118,    0,    0
115156,19781119,    0,    0
115156,19781120,    0,    0
115156,19781121,    0,    0
115156,19781122,    0,    0
115156,19781123,    0,    0
115156,19781124,    0,    0
115156,19781125,    0,    0
115156,19781126,  160,    0
115156,19781127,  130,    0
115156,19781128,    0,    0
115156,19781129,    0,    0
115156,19781130,    0,    0
115156,19781201,    0,    0
115156,19781202,    0,    0
115156,19781203,    0,    0
115156,19781204,    4,    0
115156,19781205,    0,    0
115156,19781206,    2,    0
115156,19781207,    1,    0
115156,19781208,   21,    0
115156,19781209,    6,    0
115156,19781210,    0,    0
115156,19781211,    0,    0
115156,19781212,   53,    0
115156,19781213,   38,    0
115156,19781214,    3,    0
115156,19781215,    0,    0
115156,19781216,   37,    0
115156,19781217,   24,    0
115156,19781218,   17,    0
115156,19781219,   60,    0
115156,19781220,    0,    0
115156,19781221,    0,    0
115156,19781222,    6,    0
115156,19781223,   14,    0
115156,19781224,    0,    0
115156,19781225,    6,    0
115156,19781226,    0,    0
115156,19781227,    0,    0
115156,19781228,    1,    0
115156,19781229,   53,    0
115156,19781230,    0,    0
115156,19781231,    0,    0
115156,19790101,   94,    0
115156,19790102,    0,    0
115156,19790103,    0,    0
115156,19790104,    0,    0
115156,19790105,    0,    0
115156,19790106,    0,    0
115156,19790107,    0,    0
115156,19790108,    0,    0
115156,19790109,   91,    0
115156,19790110,  128,    0
115156,19790111,  100,    0
115156,19790112,    0,    0
115156,19790113,    0,    0
115156,19790114,    0,    0
115156,19790115,    0,    0
115156,19790116,   45,    0
115156,19790117,    5,    0
115156,19790118,    0,    0
115156,19790119,    0,    0
115156,19790120,    0,    0
115156,19790121,    7,    0
115156,19790122,    0,    0
115156,19790123,    7,    0
115156,19790124,   95,    0
115156,19790125,    7,    0
115156,19790126,    0,    0
115156,19790127,   69,    0
115156,19790128,   21,    0
115156,19790129,  227,    0
115156,19790130,    0,    0
115156,19790131,    0,    0
115156,19790201,    0,    0
115156,19790202,    0,    0
115156,19790203,    3,    0
115156,19790204,    0,    0
115156,19790205,    0,    0
115156,19790206,    0,    0
115156,19790207,    0,    0
115156,19790208,    0,    0
115156,19790209,    2,    0
115156,19790210,   90,    0
115156,19790211,   34,    0
115156,19790212,    0,    0
115156,19790213,    4,    0
115156,19790214,   55,    0
115156,19790215,   35,    0
115156,19790216,  192,    0
115156,19790217,  102,    0
115156,19790218,   45,    0
115156,19790219,    3,    0
115156,19790220,    0,    0
115156,19790221,    0,    0
115156,19790222,    0,    0
115156,19790223,    0,    0
115156,19790224,    0,    0
115156,19790225,    2,    0
115156,19790226,    1,    0
115156,19790227,    0,    0
115156,19790228,    0,    0
115156,19790301,    0,    0
115156,19790302,    0,    0
115156,19790303,    0,    0
115156,19790304,    0,    0
115156,19790305,    0,    0
115156,19790306,    0,    0
115156,19790307,   66,    0
115156,19790308,    7,    0
115156,19790309,    0,    0
115156,19790310,    0,    0
115156,19790311,    0,    0
115156,19790312,    0,    0
115156,19790313,    0,    0
115156,19790314,    0,    0
115156,19790315,    0,    0
115156,19790316,   84,    0
115156,19790317,    0,    0
115156,19790318,    0,    0
115156,19790319,    0,    0
115156,19790320,    1,    0
115156,19790321,    0,    0
115156,19790322,  174,    0
115156,19790323,    0,    0
115156,19790324,    0,    0
115156,19790325,    0,    0
115156,19790326,    1,    0
115156,19790327,  111,    0
115156,19790328,   27,    0
115156,19790329,  110,    0
115156,19790330,    0,    0
115156,19790331,  158,    0
115156,19790401,    0,    0
115156,19790402,    0,    0
115156,19790403,    0,    0
115156,19790404,   26,    0
115156,19790405,  184,    0
115156,19790406,   16,    0
115156,19790407,    0,    0
115156,19790408,    0,    0
115156,19790409,    0,    0
115156,19790410,    0,    0
115156,19790411,    0,    0
115156,19790412,    0,    0
115156,19790413,    0,    0
115156,19790414,    0,    0
115156,19790415,    0,    0
115156,19790416,    4,    0
115156,19790417,   58,    0
115156,19790418,    0,    0
115156,19790419,    0,    0
115156,19790420,    0,    0
115156,19790421,    0,    0
115156,19790422,    0,    0
115156,19790423,    0,    0
115156,19790424,   59,    0
115156,19790425,   24,    0
115156,19790426,   21,    0
115156,19790427,   36,    0
115156,19790428,   16,    0
115156,19790429,    0,    0
115156,19790430,    0,    0
115156,19790501,   53,    0
115156,19790502,  112,    0
115156,19790503,   27,    0
115156,19790504,    0,    0
115156,19790505,   36,    0
115156,19790506,    0,    0
115156,19790507,    0,    0
115156,19790508,    0,    0
115156,19790509,    0,    0
115156,19790510,    0,    0
115156,19790511,    7,    0
115156,19790512,   50,    0
115156,19790513,    0,    0
115156,19790514,    0,    0
115156,19790515,    0,    0
115156,19790516,    0,    0
115156,19790517,    0,    0
115156,19790518,    0,    0
115156,19790519,    0,    0
115156,19790520,    0,    0
115156,19790521,    0,    0
115156,19790522,    0,    0
115156,19790523,    0,    0
115156,19790524,    0,    0
115156,19790525,    0,    0
115156,19790526,    0,    0
115156,19790527,    0,    0
115156,19790528,    0,    0
115156,19790529,    0,    0
115156,19790530,    0,    0
115156,19790531,    0,    0
115156,19790601,    0,    0
115156,19790602,    0,    0
115156,19790603,    9,    0
115156,19790604,    0,    0
115156,19790605,    0,    0
115156,19790606,    0,    0
115156,19790607,    0,    0
115156,19790608,  159,    0
115156,19790609,   74,    0
115156,19790610,    0,    0
115156,19790611,   44,    0
115156,19790612,    5,    0
115156,19790613,  159,    0
115156,19790614,  145,    0
115156,19790615,    0,    0
115156,19790616,  276,    0
115156,19790617,  128,    0
115156,19790618,    0,    0
115156,19790619,   29,    0
115156,19790620,   57,    0
115156,19790621,   35,    0
115156,19790622,    0,    0
115156,19790623,    4,    0
115156,19790624,    0,    0
115156,19790625,   11,    0
115156,19790626,    0,    0
115156,19790627,    0,    0
115156,19790628,  133,    0
115156,19790629,    0,    0
115156,19790630,  223,    0
115156,19790701,   13,    0
115156,19790702,   99,    0
115156,19790703,  111,    0
115156,19790704,    0,    0
115156,19790705,    0,    0
115156,19790706,    0,    0
115156,19790707,    0,    0
115156,19790708,   13,    0
115156,19790709,    8,    0
115156,19790710,   16,    0
115156,19790711,    0,    0
115156,19790712,    0,    0
115156,19790713,   84,    0
115156,19790714,    9,    0
115156,19790715,    0,    0
115156,19790716,   37,    0
115156,19790717,   60,    0
115156,19790718,    0,    0
115156,19790719,    0,    0
115156,19790720,   36,    0
115156,19790721,  111,    0
115156,19790722,  194,    0
115156,19790723,    0,    0
115156,19790724,    0,    0
115156,19790725,    0,    0
115156,19790726,  212,    0
115156,19790727,  151,    0
115156,19790728,    2,    0
115156,19790729,    0,    0
115156,19790730,    0,    0
115156,19790731,    0,    0
115156,19790801,    0,    0
115156,19790802,    0,    0
115156,19790803,    0,    0
115156,19790804,  221,    0
